[1]	train-error:0.117502+0.009195	test-error:0.294453+0.054466 
[2]	train-error:0.101275+0.009426	test-error:0.254819+0.044434 
[3]	train-error:0.073782+0.011667	test-error:0.234934+0.033233 
[4]	train-error:0.060009+0.003217	test-error:0.224812+0.055960 
[5]	train-error:0.051251+0.006127	test-error:0.234934+0.033233 
[6]	train-error:0.041219+0.009242	test-error:0.229812+0.044535 
[7]	train-error:0.036227+0.006000	test-error:0.219812+0.041588 
[8]	train-error:0.034969+0.009221	test-error:0.219812+0.049796 
[9]	train-error:0.024969+0.009643	test-error:0.224812+0.046168 
[10]	train-error:0.026211+0.015500	test-error:0.209812+0.052686 
[11]	train-error:0.019969+0.010739	test-error:0.209934+0.045838 
[12]	train-error:0.013719+0.009965	test-error:0.209684+0.058900 
[13]	train-error:0.012477+0.007887	test-error:0.194806+0.054670 
[14]	train-error:0.009984+0.006368	test-error:0.199806+0.053765 
[15]	train-error:0.009984+0.006368	test-error:0.194806+0.054670 
[16]	train-error:0.007484+0.006111	test-error:0.204806+0.044639 
[17]	train-error:0.003742+0.004996	test-error:0.199806+0.053765 
[18]	train-error:0.002492+0.003052	test-error:0.199806+0.046268 
[19]	train-error:0.002492+0.003052	test-error:0.204806+0.044639 
[20]	train-error:0.000000+0.000000	test-error:0.209684+0.049692 
